41.8671128304,-87.6535452381
41.8671036514,-87.6542929144
41.8671092258,-87.6565061868
41.8675275799,-87.656693032
41.8678671517,-87.6567057299
41.8688763662,-87.6567369014
41.8692266316,-87.6567151429
41.8695196755,-87.6566595283
41.8705649349,-87.6567801953
41.8712381677,-87.6567962036
41.8719181349,-87.6567941202
41.8722489133,-87.656779526
41.8725911899,-87.6567654273
41.8732661416,-87.6567277801
41.8739459777,-87.6567124234
41.8742477775,-87.6565018631
41.8742571142,-87.6557758832
41.8742910965,-87.6535538777
41.8743012892,-87.6528104854
41.8743071547,-87.652089708
41.8743259091,-87.6513371937
41.8743357994,-87.6505984087
41.8743445415,-87.6498616785
41.8743055339,-87.6476399163
41.8736054416,-87.6471638675
41.8729253492,-87.6471425661
41.8722525474,-87.6471208637
41.8719135943,-87.64709226
41.8708981554,-87.6470733314
41.8698861504,-87.6470397159
41.8695520361,-87.6469985463
41.869610382,-87.6461688652
41.8634957259,-87.6508040347
41.8638032512,-87.6508198294
41.8641405455,-87.6509366234
41.8644848369,-87.6509354468
41.8655019119,-87.6510150755
41.865841142,-87.6510204083
41.8661772802,-87.6510302363
41.8668659813,-87.6511183333
41.8671435497,-87.6513070697
41.8671128304,-87.6535452381
41.8671036514,-87.6542929144
41.8671092258,-87.6565061868
41.8675275799,-87.656693032
41.8678671517,-87.6567057299
41.8688763662,-87.6567369014
41.8692266316,-87.6567151429
41.8695196755,-87.6566595283
41.8705649349,-87.6567801953
41.8712381677,-87.6567962036
41.8719181349,-87.6567941202
41.8722489133,-87.656779526
41.8725911899,-87.6567654273
41.8732661416,-87.6567277801
41.8739459777,-87.6567124234
41.8742477775,-87.6565018631
41.8742571142,-87.6557758832
41.8742910965,-87.6535538777
41.8743012892,-87.6528104854
41.8743071547,-87.652089708
41.8743259091,-87.6513371937
41.8743357994,-87.6505984087
41.8743445415,-87.6498616785
41.8743055339,-87.6476399163
41.8671435497,-87.6513070697
41.8671128304,-87.6535452381
41.8671036514,-87.6542929144
41.8671092258,-87.6565061868
41.8675275799,-87.656693032
41.8678671517,-87.6567057299
41.8688763662,-87.6567369014
41.8692266316,-87.6567151429
41.8695196755,-87.6566595283
41.8705649349,-87.6567801953
41.8712381677,-87.6567962036
41.8719181349,-87.6567941202
41.8722489133,-87.656779526
41.8725911899,-87.6567654273
41.8732661416,-87.6567277801
41.8739459777,-87.6567124234
41.8742477775,-87.6565018631
41.8742571142,-87.6557758832
41.8742910965,-87.6535538777
41.8743012892,-87.6528104854
41.8743071547,-87.652089708
41.8743259091,-87.6513371937
41.8743357994,-87.6505984087
41.8743445415,-87.6498616785
41.8743055339,-87.6476399163
41.8736054416,-87.6471638675
41.8729253492,-87.6471425661
41.8722525474,-87.6471208637
41.8719135943,-87.64709226
41.8708981554,-87.6470733314
41.8698861504,-87.6470397159
41.8695520361,-87.6469985463
41.8695196755,-87.6566595283
41.8705649349,-87.6567801953
41.8712381677,-87.6567962036
41.8719181349,-87.6567941202
41.8722489133,-87.656779526
41.8725911899,-87.6567654273
41.8732661416,-87.6567277801
41.8739459777,-87.6567124234
41.8742477775,-87.6565018631
41.8742571142,-87.6557758832
41.8742910965,-87.6535538777
41.8743012892,-87.6528104854
41.8743071547,-87.652089708
41.8743259091,-87.6513371937
41.8743357994,-87.6505984087
41.8743445415,-87.6498616785
41.8743055339,-87.6476399163
41.8736054416,-87.6471638675
41.8729253492,-87.6471425661
41.8722525474,-87.6471208637
41.8719135943,-87.64709226
41.8708981554,-87.6470733314
41.8698861504,-87.6470397159
41.8695520361,-87.6469985463
41.8688729367,-87.647043488
41.8678589824,-87.6470369265
41.867513347,-87.6470319108
41.8672053753,-87.6476438872
41.8671969246,-87.6483845031
41.8671853353,-87.6491278144
